word_id;words;sent_id;label
17;intrusion;3;O
18;attempts;3;O
19;well;3;O
20;in;3;O
21;advance;3;O
22;of;3;O
23;threat;3;O
24;actor;3;O
25;implementation;3;O
26;.;3;O
;;;
0;On;4;O
1;September;4;O
2;24;4;O
3;,;4;O
4;FireEye;4;O
5;observed;4;O
6;SWCs;4;O
7;,;4;O
8;likely;4;O
9;conducted;4;O
10;by;4;O
11;a;4;O
12;unitary;4;O
13;threat;4;O
14;group;4;O
15;based;4;O
16;on;4;O
17;shared;4;O
18;infrastructure;4;O
19;and;4;O
20;tools;4;O
21;,;4;O
22;on;4;O
23;at;4;O
24;least;4;O
25;three;4;O
26;different;4;O
27;websites;4;O
28;:;4;O
29;an;4;O
30;international;4;O
31;non-profit;4;O
32;organization;4;O
33;that;4;O
34;focuses;4;O
35;on;4;O
36;environmental;4;O
37;advocacy;4;O
38;,;4;O
39;and;4;O
40;two;4;O
41;different;4;O
42;NGOs;4;O
43;that;4;O
44;promote;4;O
45;democracy;4;O
46;and;4;O
47;human;4;O
48;rights;4;O
49;.;4;O
;;;
0;The;5;B-Entity
1;group;5;I-Entity
2;was;5;O
3;able;5;O
4;to;5;O
5;compromise;5;B-Action
6;these;5;B-Entity
7;websites;5;I-Entity
8;and;5;O
9;insert;5;B-Action
10;malicious;5;B-Entity
11;iframes;5;I-Entity
12;.;5;O
;;;
0;Figure;6;O
1;1;6;O
2;displays;6;O
3;one;6;O
4;of;6;O
5;the;6;O
6;iframes;6;O
7;.;6;O
;;;
0;The;7;B-Entity
1;threat;7;I-Entity
2;group;7;I-Entity
3;obfuscated;7;B-Action
4;the;7;B-Entity
5;iframe;7;I-Entity
6;on;7;B-Modifier
7;two;7;B-Entity
8;of;7;I-Entity
9;the;7;I-Entity
10;compromised;7;I-Entity
11;websites;7;I-Entity
12;.;7;O
;;;
0;The;8;B-Entity
1;iframes;8;I-Entity
2;on;8;I-Entity
3;these;8;I-Entity
4;websites;8;I-Entity
5;directed;8;B-Action
6;visitors;8;B-Entity
7;to;8;B-Modifier
8;Java;8;B-Entity
9;exploits;8;I-Entity
10;hosted;8;I-Entity
11;at;8;I-Entity
12;103.27.108.45;8;I-Entity
13;.;8;O
;;;
0;In;9;O
1;turn;9;O
2;,;9;O
3;these;9;B-Entity
4;exploits;9;I-Entity
5;downloaded;9;B-Action
6;and;9;O
7;decoded;9;O
8;a;9;B-Entity
9;payload;9;I-Entity
10;hosted;9;I-Entity
11;at;9;I-Entity
12;:;9;I-Entity
13;hxxp;9;I-Entity
14;:;9;I-Entity
15;//103.27.108.45/img/js.php;9;I-Entity
16;.;9;O
;;;
0;A;10;O
1;GET;10;O
2;request;10;O
3;to;10;O
4;this;10;O
5;URI;10;O
6;returned;10;O
7;the;10;O
8;following;10;O
9;content;10;O
10;:;10;O
11;The;10;O
12;'bin;10;O
13;';10;O
14;param;10;O
15;shown;10;O
16;in;10;O
17;Figure;10;O
18;2;10;O
19;is;10;O
20;decoded;10;O
21;from;10;O
22;ASCII;10;O
23;into;10;O
24;hex;10;O
25;by;10;O
26;the;10;O
27;Java;10;O
28;exploit;10;O
29;.;10;O
;;;
0;Once;11;O
1;decoded;11;O
2;,;11;O
3;FireEye;11;O
4;identified;11;O
5;the;11;O
6;payload;11;O
7;as;11;O
8;a;11;O
9;Poison;11;O
10;Ivy;11;O
11;variant;11;O
12;.;11;O
;;;
0;It;12;O
1;had;12;O
2;the;12;O
3;following;12;O
4;properties;12;O
5;:;12;O
6;The;12;O
7;backdoor;12;O
8;also;12;O
9;contained;12;O
10;the;12;O
11;below;12;O
12;versioning;12;O
13;info;12;O
14;embedded;12;O
15;in;12;O
16;the;12;O
17;RTVERSION;12;O
18;of;12;O
19;one;12;O
20;of;12;O
21;the;12;O
22;PE;12;O
23;resources;12;O
24;:;12;O
25;This;12;B-Entity
26;versioning;12;I-Entity
27;info;12;I-Entity
28;attempted;12;O
29;to;12;O
30;masquerade;12;B-Action
31;as;12;B-Modifier
32;a;12;B-Entity
33;Google;12;I-Entity
34;Chrome;12;I-Entity
35;file;12;I-Entity
36;.;12;O
;;;
0;However;13;O
1;,;13;O
2;the;13;O
3;malware;13;O
4;author;13;O
5;misspelled;13;O
6;multiple;13;O
7;words;13;O
8;when;13;O
9;attempting;13;O
10;to;13;O
11;put;13;O
12;in;13;O
13;versioning;13;O
14;information;13;O
15;for;13;O
16;this;13;O
17;particular;13;O
18;build;13;O
19;.;13;O
;;;
0;The;14;O
1;Poison;14;O
2;Ivy;14;O
3;implant;14;O
4;had;14;O
5;the;14;O
6;following;14;O
7;configuration;14;O
8;properties;14;O
9;:;14;O
10;The;14;B-Entity
11;C2;14;I-Entity
12;domain;14;I-Entity
13;quakegoogle.servequake;14;I-Entity
14;[;14;I-Entity
15;.;14;I-Entity
16;];14;I-Entity
17;com;14;I-Entity
18;resolved;14;B-Action
19;to;14;B-Modifier
20;115.126.62.100;14;B-Entity
21;at;14;B-Modifier
22;the;14;B-Entity
23;time;14;I-Entity
24;of;14;I-Entity
25;the;14;I-Entity
26;SWCs;14;I-Entity
27;.;14;O
;;;
0;Other;15;O
1;domains;15;O
2;resolving;15;O
3;to;15;O
4;the;15;O
5;same;15;O
6;IP;15;O
7;include;15;O
8;the;15;O
9;following;15;O
10;:;15;O
11;Between;15;O
12;August;15;O
13;30;15;O
14;,;15;O
15;2014;15;O
16;and;15;O
17;September;15;O
18;16;15;O
19;,;15;O
20;2014;15;O
21;we;15;O
22;also;15;O
23;observed;15;O
24;SOGU;15;B-Entity
25;(;15;I-Entity
26;aka;15;I-Entity
27;Kaba;15;I-Entity
28;);15;I-Entity
29;callback;15;I-Entity
30;traffic;15;I-Entity
31;sent;15;B-Action
32;to;15;B-Modifier
33;assign.ddnsking.com;15;B-Entity
34;over;15;B-Modifier
35;port;15;B-Entity
36;443;15;I-Entity
37;.;15;O
;;;
0;The;16;O
1;Poison;16;O
2;Ivy;16;O
3;backdoor;16;O
4;also;16;O
5;had;16;O
6;a;16;O
7;RTMANIFEST;16;O
8;PE;16;O
9;resource;16;O
10;with;16;O
11;a;16;O
12;SHA256;16;O
13;fingerprint;16;O
14;of;16;O
15;82a98c88d3dd57a6ebc0fe7167a86875ed52ebddc6374ad640407efec01b1393;16;O
16;.;16;O
;;;
0;This;17;O
1;same;17;O
2;RTMANIFEST;17;O
3;resource;17;O
4;was;17;O
5;documented;17;O
6;in;17;O
7;our;17;O
8;previous;17;O
9;Sunshop;17;O
10;Digital;17;O
11;Quartermaster;17;O
12;report;17;O
13;.;17;O
;;;
0;FireEye;18;O
1;previously;18;O
2;identified;18;O
3;this;18;O
4;specific;18;O
5;RTMANIFEST;18;O
6;as;18;O
7;the;18;O
8;'Sunshop;18;O
9;Manifest;18;O
10;,;18;O
11;';18;O
12;and;18;O
13;we;18;O
14;have;18;O
15;observed;18;O
16;this;18;O
17;same;18;O
18;manifest;18;O
19;resource;18;O
20;used;18;O
21;in;18;O
22;86;18;O
23;other;18;O
24;samples;18;O
25;.;18;O
;;;
0;As;19;O
1;we;19;O
2;stated;19;O
3;in;19;O
4;the;19;O
5;Quartermaster;19;O
6;report;19;O
7;,;19;O
8;we;19;O
9;believe;19;O
10;this;19;O
11;shared;19;O
12;resource;19;O
13;is;19;O
14;an;19;O
15;artifact;19;O
16;of;19;O
17;a;19;O
18;builder;19;O
19;toolkit;19;O
20;made;19;O
21;available;19;O
22;to;19;O
23;a;19;O
24;number;19;O
25;of;19;O
26;China-;19;O
27;based;19;O
28;APT;19;O
29;groups;19;O
30;.;19;O
;;;
0;This;20;O
1;activity;20;O
2;represents;20;O
3;a;20;O
4;new;20;O
5;SWC;20;O
6;campaign;20;O
7;.;20;O
;;;
0;We;21;O
1;suspect;21;O
2;threat;21;O
3;actors;21;O
4;are;21;O
5;leveraging;21;O
6;their;21;O
7;access;21;O
8;to;21;O
9;compromised;21;O
10;websites;21;O
11;belonging;21;O
12;to;21;O
13;NGOs;21;O
14;and;21;O
15;non-profits;21;O
16;to;21;O
17;target;21;O
18;other;21;O
19;organizations;21;O
20;in;21;O
21;the;21;O
22;same;21;O
23;industries;21;O
24;.;21;O
;;;
0;These;22;O
1;websites;22;O
2;are;22;O
3;often;22;O
4;visited;22;O
5;by;22;O
6;organization;22;O
7;employees;22;O
8;and;22;O
9;other;22;O
10;organizations;22;O
11;in;22;O
12;the;22;O
13;same;22;O
14;industries;22;O
15;,;22;O
16;allowing;22;O
17;threat;22;O
18;actors;22;O
19;to;22;O
20;move;22;O
21;laterally;22;O
22;within;22;O
23;already;22;O
24;compromised;22;O
25;networks;22;O
26;or;22;O
27;gain;22;O
28;access;22;O
29;to;22;O
30;new;22;O
31;networks;22;O
32;.;22;O
;;;
0;While;23;O
1;FireEye;23;O
2;has;23;O
3;not;23;O
4;attributed;23;O
5;this;23;O
6;activity;23;O
7;to;23;O
8;a;23;O
9;specific;23;O
10;threat;23;O
11;group;23;O
12;,;23;O
13;we;23;O
14;frequently;23;O
15;observe;23;O
16;China-based;23;O
17;threat;23;O
18;actors;23;O
19;target;23;O
20;non-profits;23;O
21;and;23;O
22;NGOs;23;O
23;,;23;O
24;and;23;O
25;we;23;O
26;suspect;23;O
27;that;23;O
28;they;23;O
29;seek;23;O
30;to;23;O
31;monitor;23;O
32;activity;23;O
33;within;23;O
34;their;23;O
35;borders;23;O
36;that;23;O
37;may;23;O
38;lead;23;O
39;to;23;O
40;domestic;23;O
41;unrest;23;O
42;or;23;O
43;embarrass;23;O
44;the;23;O
45;Chinese;23;O
46;government;23;O
47;.;23;O
;;;
0;For;24;O
1;example;24;O
2;,;24;O
3;in;24;O
4;2013;24;O
5;,;24;O
6;FireEye;24;O
7;observed;24;O
8;China-based;24;O
9;threat;24;O
10;actors;24;O
11;steal;24;O
12;grant;24;O
13;applications;24;O
14;and;24;O
15;activity;24;O
16;reports;24;O
17;specifically;24;O
18;related;24;O
19;to;24;O
20;an;24;O
21;international;24;O
22;NGO;24;O
23;'s;24;O
24;China-based;24;O
25;activities;24;O
26;.;24;O
;;;
0;We;25;O
1;suspects;25;O
2;threat;25;O
3;actors;25;O
4;sought;25;O
5;to;25;O
6;monitor;25;O
7;these;25;O
8;programs;25;O
9;and;25;O
10;involved;25;O
11;individuals;25;O
12;.;25;O
;;;
0;The;26;O
1;three;26;O
2;organizations;26;O
3;whose;26;O
4;websites;26;O
5;are;26;O
6;hosting;26;O
7;the;26;O
8;malicious;26;O
9;iframes;26;O
10;have;26;O
11;China-based;26;O
12;operations;26;O
13;.;26;O
;;;
0;FireEye;27;O
1;is;27;O
2;releasing;27;O
3;information;27;O
4;on;27;O
5;this;27;O
6;campaign;27;O
7;to;27;O
8;allow;27;O
9;organizations;27;O
10;to;27;O
11;investigate;27;O
12;and;27;O
13;prepare;27;O
14;for;27;O
15;this;27;O
16;activity;27;O
17;in;27;O
18;their;27;O
19;networks;27;O
20;.;27;O
;;;
0;We;28;O
1;believe;28;O
2;non-profits;28;O
3;and;28;O
4;NGOs;28;O
5;remain;28;O
6;at;28;O
7;elevated;28;O
8;risk;28;O
9;of;28;O
10;intrusion;28;O
11;and;28;O
12;should;28;O
13;be;28;O
14;especially;28;O
15;wary;28;O
16;of;28;O
17;attempts;28;O
18;to;28;O
19;compromise;28;O
20;their;28;O
21;networks;28;O
22;using;28;O
23;SWC;28;O
24;.;28;O
;;;
0;Threat;29;O
1;actors;29;O
2;may;29;O
3;use;29;O
4;SWCs;29;O
5;to;29;O
6;achieve;29;O
7;this;29;O
8;goal;29;O
9;,;29;O
10;but;29;O
11;FireEye;29;O
12;does;29;O
13;not;29;O
14;discount;29;O
15;the;29;O
16;possibility;29;O
17;that;29;O
18;threat;29;O
19;actors;29;O
20;will;29;O
21;use;29;O
22;other;29;O
23;means;29;O
24;at;29;O
25;their;29;O
26;disposal;29;O
27;,;29;O
28;including;29;O
29;phishing;29;O
30;.;29;O
;;;
0;Based;30;O
1;on;30;O
2;past;30;O
3;threat;30;O
4;actor;30;O
5;activity;30;O
6;in;30;O
7;this;30;O
8;industry;30;O
9;,;30;O
10;FireEye;30;O
11;expects;30;O
12;threat;30;O
13;actors;30;O
14;are;30;O
15;motivated;30;O
16;to;30;O
17;steal;30;O
18;programmatic;30;O
19;data;30;O
20;and;30;O
21;monitor;30;O
22;organizations;30;O
23;';30;O
24;programs;30;O
25;in;30;O
26;specific;30;O
27;countries;30;O
28;.;30;O
;;;
0;If;31;O
1;China-based;31;O
2;threat;31;O
3;actors;31;O
4;are;31;O
5;behind;31;O
6;the;31;O
7;observed;31;O
8;campaign;31;O
9;,;31;O
10;FireEye;31;O
11;expects;31;O
12;that;31;O
13;organizations;31;O
14;with;31;O
15;operations;31;O
16;in;31;O
17;China;31;O
18;are;31;O
19;high-priority;31;O
20;targets;31;O
21;.;31;O
;;;
0;FireEye;32;O
1;currently;32;O
2;has;32;O
3;detection;32;O
4;measures;32;O
5;in;32;O
6;place;32;O
7;that;32;O
8;should;32;O
9;allow;32;O
10;users;32;O
11;of;32;O
12;FireEye;32;O
13;products;32;O
14;to;32;O
15;detect;32;O
16;this;32;O
17;SWC;32;O
18;activity;32;O
19;.;32;O
;;;
0;It;33;O
1;is;33;O
2;also;33;O
3;likely;33;O
4;that;33;O
5;other;33;O
6;industries;33;O
7;or;33;O
8;organizations;33;O
9;were;33;O
10;affected;33;O
11;by;33;O
12;this;33;O
13;SWC;33;O
14;activity;33;O
15;,;33;O
16;since;33;O
17;these;33;O
18;sites;33;O
19;are;33;O
20;public;33;O
21;facing;33;O
22;and;33;O
23;frequently;33;O
24;visited;33;O
25;.;33;O
;;;
0;Special;34;O
1;thanks;34;O
2;to;34;O
3;Google;34;O
4;'s;34;O
5;Billy;34;O
6;Leonard;34;O
7;for;34;O
8;providing;34;O
9;additional;34;O
10;information;34;O
11;and;34;O
12;research;34;O
13;.;34;O
;;;
0;Thanks;35;O
1;to;35;O
2;the;35;O
3;following;35;O
4;authors;35;O
5;for;35;O
6;their;35;O
7;contributions;35;O
8;:;35;O
9;Mike;35;O
10;Oppenheim;35;O
11;,;35;O
12;Ned;35;O
13;Moran;35;O
14;,;35;O
15;and;35;O
16;Steve;35;O
17;Stone;35;O
18;.;35;O
;;;
0;This;36;O
1;entry;36;O
2;was;36;O
3;posted;36;O
4;in;36;O
5;Threat;36;O
6;Intelligence;36;O
7;,;36;O
8;Threat;36;O
9;Research;36;O
10;by;36;O
11;Sarah;36;O
12;Engle;36;O
13;and;36;O
14;Ben;36;O
15;Withnell;36;O
16;.;36;O
;;;
0;Bookmark;37;O
1;the;37;O
2;permalink;37;O
3;.;37;O
;;;
0;In;38;O
1;late;38;O
2;December;38;O
3;2011;38;O
4;,;38;O
5;CrowdStrike;38;O
6;,;38;O
7;Inc.;38;O
8;received;38;O
9;three;38;O
10;binary;38;O
11;executable;38;O
12;files;38;O
13;that;38;O
14;were;38;O
15;suspected;38;O
16;of;38;O
17;having;38;O
18;been;38;O
19;involved;38;O
20;in;38;O
21;a;38;O
22;sophisticted;38;O
23;attack;38;O
24;against;38;O
25;a;38;O
26;large;38;O
27;Fortune;38;O
28;500;38;O
29;company;38;O
30;.;38;O
;;;
0;The;39;O
1;files;39;O
2;were;39;O
3;analyzed;39;O
4;to;39;O
5;understand;39;O
6;first;39;O
7;if;39;O
8;they;39;O
9;were;39;O
10;in;39;O
11;fact;39;O
12;malicious;39;O
13;,;39;O
14;and;39;O
15;the;39;O
16;level;39;O
17;of;39;O
18;sophistication;39;O
19;of;39;O
20;the;39;O
21;samples;39;O
22;.;39;O
;;;
0;The;40;O
1;samples;40;O
2;were;40;O
3;clearly;40;O
4;malicious;40;O
5;and;40;O
6;varied;40;O
7;in;40;O
8;sophistication;40;O
9;.;40;O
;;;
0;All;41;B-Entity
1;three;41;I-Entity
2;samples;41;I-Entity
3;provided;41;B-Action
4;remote;41;B-Entity
5;access;41;I-Entity
6;to;41;B-Modifier
7;the;41;B-Entity
8;attacker;41;I-Entity
9;,;41;O
10;via;41;B-Modifier
11;two;41;B-Entity
12;Command;41;I-Entity
13;and;41;I-Entity
14;Control;41;I-Entity
15;(;41;I-Entity
16;C2;41;I-Entity
17;);41;I-Entity
18;servers;41;I-Entity
19;.;41;O
;;;
0;One;42;B-Entity
1;sample;42;I-Entity
2;is;42;O
3;typical;42;O
4;of;42;O
5;what;42;O
6;is;42;O
7;commonly;42;O
8;referred;42;O
9;to;42;O
10;as;42;O
11;a;42;O
12;'dropper;42;O
13;';42;O
14;because;42;O
15;its;42;O
16;primary;42;O
17;purpose;42;O
18;is;42;O
19;to;42;O
20;write;42;B-Action
21;a;42;B-Entity
22;malicious;42;I-Entity
23;component;42;I-Entity
24;to;42;B-Modifier
25;disk;42;B-Entity
26;and;42;O
27;connect;42;O
28;it;42;O
29;to;42;O
30;the;42;O
31;targeted;42;O
32;hosts;42;O
33;operating;42;O
34;system;42;O
35;.;42;O
;;;
0;The;43;O
1;malicious;43;O
2;component;43;O
3;in;43;O
4;this;43;O
5;case;43;O
6;is;43;O
7;what;43;O
8;is;43;O
9;commonly;43;O
10;referred;43;O
11;to;43;O
12;as;43;O
13;a;43;O
14;Remote;43;O
15;Access;43;O
16;Tool;43;O
17;(;43;O
18;RAT;43;O
19;);43;O
20;,;43;O
21;this;43;O
22;RAT;43;O
23;is;43;O
24;manifested;43;O
25;as;43;O
26;a;43;B-Entity
27;Dynamic;43;I-Entity
28;Link;43;I-Entity
29;Library;43;I-Entity
30;(;43;I-Entity
31;DLL;43;I-Entity
32;);43;I-Entity
33;installed;43;B-Action
34;as;43;B-Modifier
35;a;43;B-Entity
36;service;43;I-Entity
37;.;43;O
;;;
0;The;44;O
1;second;44;O
2;sample;44;O
3;analyzed;44;O
4;is;44;O
5;a;44;O
6;dual;44;O
7;use;44;O
8;tool;44;O
9;that;44;O
10;can;44;O
11;function;44;O
12;both;44;O
13;as;44;O
14;a;44;B-Entity
15;post;44;I-Entity
16;exploitation;44;I-Entity
17;tool;44;I-Entity
18;used;44;O
19;to;44;O
20;infect;44;B-Action
21;other;44;B-Entity
22;systems;44;I-Entity
23;,;44;O
24;download;44;B-Action
25;additional;44;B-Entity
26;tools;44;I-Entity
27;,;44;O
28;remove;44;B-Action
29;log;44;B-Entity
30;data;44;I-Entity
31;,;44;O
32;and;44;O
33;itself;44;B-Entity
34;be;44;B-Action
35;used;44;I-Action
36;as;44;B-Modifier
37;a;44;B-Entity
38;backdoor;44;I-Entity
39;.;44;O
;;;
0;The;45;B-Entity
1;third;45;I-Entity
2;sample;45;I-Entity
3;was;45;O
4;a;45;O
5;sophisticated;45;O
6;implant;45;O
7;that;45;O
8;in;45;O
9;addition;45;O
10;to;45;O
11;having;45;B-Action
12;multiple;45;B-Entity
13;communication;45;I-Entity
14;capabilities;45;I-Entity
15;,;45;O
16;and;45;O
17;the;45;O
18;ability;45;O
19;to;45;O
20;act;45;B-Action
21;as;45;B-Modifier
22;a;45;B-Entity
23;relay;45;I-Entity
24;for;45;I-Entity
25;other;45;I-Entity
26;infected;45;I-Entity
27;hosts;45;I-Entity
28;,;45;O
29;utilized;45;B-Action
30;a;45;B-Entity
31;kernel;45;I-Entity
32;mode;45;I-Entity
33;driver;45;I-Entity
34;that;45;O
35;can;45;O
36;hide;45;B-Action
37;aspects;45;B-Entity
38;of;45;I-Entity
39;the;45;I-Entity
40;tool;45;I-Entity
41;from;45;B-Modifier
42;user-mode;45;B-Entity
43;tools;45;I-Entity
44;.;45;O
;;;
0;This;46;B-Entity
1;third;46;I-Entity
2;component;46;I-Entity
3;is;46;B-Action
4;likely;46;I-Action
5;used;46;I-Action
6;for;46;B-Modifier
7;long-term;46;O
8;implantation;46;O
9;and;46;O
10;intelligence;46;B-Entity
11;gathering;46;I-Entity
12;.;46;O
;;;
0;Some;47;O
1;AV;47;O
2;engines;47;O
3;occasionally;47;O
4;identify;47;O
5;this;47;O
6;sample;47;O
7;as;47;O
8;Derusbi;47;O
9;Trojan;47;O
10;.;47;O
;;;
0;CrowdStrike;48;O
1;Intelligence;48;O
2;Team;48;O
3;has;48;O
4;seen;48;O
5;Trojans;48;O
6;from;48;O
7;8;48;O
8;different;48;O
9;builder;48;O
10;variants;48;O
11;of;48;O
12;this;48;O
13;RAT;48;O
14;,;48;O
15;including;48;O
16;64-bit;48;O
17;versions;48;O
18;,;48;O
19;used;48;O
20;in;48;O
21;targeted;48;O
22;attacks;48;O
23;in;48;O
24;2011;48;O
25;against;48;O
26;Defense;48;O
27;,;48;O
28;Energy/Power;48;O
29;,;48;O
30;and;48;O
31;Chemical;48;O
32;Industries;48;O
33;in;48;O
34;US;48;O
35;and;48;O
36;Japan;48;O
37;.;48;O
;;;
0;All;49;O
1;of;49;O
2;these;49;O
3;samples;49;O
4;reflect;49;O
5;common;49;O
6;toolmarks;49;O
7;and;49;O
8;tradecraft;49;O
9;consistent;49;O
10;with;49;O
11;Chinese;49;O
12;based;49;O
13;actors;49;O
14;who;49;O
15;target;49;O
16;various;49;O
17;strategic;49;O
18;interests;49;O
19;of;49;O
20;the;49;O
21;United;49;O
22;States;49;O
23;including;49;O
24;High;49;O
25;Tech/Heavy;49;O
26;Industry;49;O
27;,;49;O
28;Non-Governmental;49;O
29;Organizations;49;O
30;(;49;O
31;NGOs;49;O
32;);49;O
33;,;49;O
34;State/Federal;49;O
35;Government;49;O
36;,;49;O
37;Defense;49;O
38;Industrial;49;O
39;Base;49;O
40;(;49;O
41;DIB;49;O
42;);49;O
43;,;49;O
44;and;49;O
45;organizations;49;O
46;with;49;O
47;vast;49;O
48;economic;49;O
49;interests;49;O
50;.;49;O
;;;
0;This;50;O
1;report;50;O
2;contains;50;O
3;an;50;O
4;in-depth;50;O
5;technical;50;O
6;analysis;50;O
7;of;50;O
8;the;50;O
9;samples;50;O
10;,;50;O
11;detection/remediation/mitigation;50;O
12;information;50;O
13;,;50;O
14;attribution;50;O
15;intelligence;50;O
16;,;50;O
17;and;50;O
18;a;50;O
19;conclusion;50;O
20;aimed;50;O
21;at;50;O
22;providing;50;O
23;the;50;O
24;reader;50;O
25;with;50;O
26;a;50;O
27;synopsis;50;O
28;of;50;O
29;the;50;O
30;report;50;O
31;.;50;O
;;;
0;The;51;B-Entity
1;executable;51;I-Entity
2;14c04f88dc97aef3e9b516ef208a2bf5;51;I-Entity
3;is;51;O
4;commonly;51;O
5;referred;51;O
6;to;51;O
7;as;51;O
8;a;51;O
9;'dropper;51;O
10;';51;O
11;,;51;O
12;which;51;O
13;is;51;O
14;designed;51;O
15;with;51;O
16;the;51;O
17;purpose;51;O
18;of;51;O
19;extracting;51;B-Action
20;from;51;B-Modifier
21;itself;51;B-Entity
22;a;51;B-Entity
23;malicious;51;I-Entity
24;payload;51;I-Entity
25;and;51;O
26;to;51;O
27;initialize;51;B-Action
28;and;51;I-Action
29;install;51;I-Action
30;it;51;B-Entity
31;into;51;B-Modifier
32;a;51;B-Entity
33;targeted;51;I-Entity
34;system;51;I-Entity
35;.;51;O
;;;
0;In;52;O
1;this;52;O
2;case;52;O
3;,;52;O
4;the;52;B-Entity
5;malicious;52;I-Entity
6;payload;52;I-Entity
7;is;52;O
8;a;52;O
9;Dynamic-Link;52;O
10;Library;52;O
11;(;52;O
12;DLL;52;O
13;);52;O
14;,;52;O
15;which;52;O
16;enables;52;B-Action
17;an;52;B-Entity
18;attacker;52;I-Entity
19;to;52;B-Modifier
20;have;52;B-Entity
21;full;52;I-Entity
22;control;52;I-Entity
23;of;52;I-Entity
24;the;52;I-Entity
25;system;52;I-Entity
26;.;52;O
;;;
0;This;53;O
1;code;53;O
2;appears;53;O
3;to;53;O
4;have;53;O
5;been;53;O
6;compiled;53;O
7;on;53;O
8;Wednesday;53;O
9;May;53;O
10;4th;53;O
11;,;53;O
12;2011;53;O
13;at;53;O
14;11:04:24;53;O
15;A.M.;53;O
16;UTC;53;O
17;(;53;O
18;equivalent;53;O
19;to;53;O
20;early;53;O
21;evening;53;O
22;time;53;O
23;in;53;O
24;China;53;O
25;);53;O
26;.;53;O
;;;
0;Note;54;O
1;that;54;O
2;the;54;O
3;timestamp;54;O
4;is;54;O
5;in;54;O
6;UTC;54;O
7;,;54;O
8;however;54;O
9;the;54;O
10;relative;54;O
11;time;54;O
12;of;54;O
13;day;54;O
14;in;54;O
15;China;54;O
16;is;54;O
17;provided;54;O
18;for;54;O
19;the;54;O
20;benefit;54;O
21;of;54;O
22;the;54;O
23;reader;54;O
24;.;54;O
;;;
0;The;55;B-Entity
1;sample;55;I-Entity
2;first;55;O
3;resolves;55;B-Action
4;several;55;B-Entity
5;library;55;I-Entity
6;functions;55;I-Entity
7;provided;55;I-Entity
8;by;55;I-Entity
9;Microsoft;55;I-Entity
10;using;55;B-Modifier
11;the;55;B-Entity
12;LoadLibrary;55;I-Entity
13;(;55;I-Entity
14;);55;I-Entity
15;and;55;I-Entity
16;GetProcAddress;55;I-Entity
17;(;55;I-Entity
18;);55;I-Entity
19;Application;55;I-Entity
20;Programming;55;I-Entity
21;Interfaces;55;I-Entity
22;(;55;I-Entity
23;APIs;55;I-Entity
24;);55;I-Entity
25;.;55;O
;;;
0;The;56;O
1;imported;56;O
2;function;56;O
3;names;56;O
4;are;56;O
5;not;56;O
6;encrypted;56;O
7;";";56;O
8;however;56;O
9;,;56;O
10;the;56;O
11;function;56;O
12;name;56;O
13;is;56;O
14;minutely;56;O
